bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher,resumen,ejemplares,disponibilidad,pasillo,estante
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,439785960,9.78E+12,eng,652,2095690,27591,9/16/2006,Scholastic Inc.,Resumen de: Harry Potter and the Half-Blood Prince (Harry Potter  #6),4,1,7,1
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,439358078,9.78E+12,eng,870,2153167,29221,09/01/04,Scholastic Inc.,Resumen de: Harry Potter and the Order of the Phoenix (Harry Potter  #5),2,2,1,1
3,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,439554896,9.78E+12,eng,352,6333,244,11/01/03,Scholastic,Resumen de: Harry Potter and the Chamber of Secrets (Harry Potter  #2),4,3,5,3
4,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,043965548X,9.78E+12,eng,435,2339585,36325,05/01/04,Scholastic Inc.,Resumen de: Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),2,1,10,1
5,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,439682584,9.78E+12,eng,2690,41428,164,9/13/2004,Scholastic,Resumen de: Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),1,1,1,2
6,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,976540606,9.78E+12,en-US,152,19,1,4/26/2005,Nimble Books,"Resumen de: Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",4,1,9,2
7,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,439827604,9.78E+12,eng,3342,28242,808,09/12/05,Scholastic,Resumen de: Harry Potter Collection (Harry Potter  #1-6),4,4,1,2
8,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517226952,9.78E+12,eng,815,3628,254,11/01/05,Gramercy Books,Resumen de: The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),3,2,4,2
9,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,345453743,9.78E+12,eng,815,249558,4080,4/30/2002,Del Rey Books,Resumen de: The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),5,3,8,1
10,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,1400052920,9.78E+12,eng,215,4930,460,08/03/04,Crown,Resumen de: The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),2,2,4,2
11,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,739322206,9.78E+12,eng,6,1266,253,3/23/2005,Random House Audio,Resumen de: The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),2,2,2,2
12,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,517149257,9.78E+12,eng,815,2877,195,1/17/1996,Wings Books,Resumen de: The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),5,2,9,2
13,A Short History of Nearly Everything,Bill Bryson,4.21,076790818X,9.78E+12,eng,544,248558,9396,9/14/2004,Broadway Books,Resumen de: A Short History of Nearly Everything,1,1,7,3
14,Bill Bryson's African Diary,Bill Bryson,3.44,767915062,9.78E+12,eng,55,7270,499,12/03/02,Broadway Books,Resumen de: Bill Bryson's African Diary,4,1,10,3
15,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,767910435,9.78E+12,eng,256,2088,131,9/14/2004,Broadway Books,Resumen de: Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,4,4,2,3
16,In a Sunburned Country,Bill Bryson,4.07,767903862,9.78E+12,eng,335,72451,4245,5/15/2001,Broadway Books,Resumen de: In a Sunburned Country,2,2,9,2
17,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,076790382X,9.78E+12,eng,304,49240,2211,6/28/2000,Broadway Books,Resumen de: I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,1,1,3,3
18,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,60920084,9.78E+12,eng,299,45712,2257,8/28/1990,William Morrow Paperbacks,Resumen de: The Lost Continent: Travels in Small Town America,3,3,10,3
19,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,380713802,9.78E+12,eng,254,48701,2238,3/28/1993,William Morrow Paperbacks,Resumen de: Neither Here nor There: Travels in Europe,5,5,4,2
20,Notes from a Small Island,Bill Bryson,3.91,380727501,9.78E+12,eng,324,80609,3301,5/28/1997,William Morrow Paperbacks,Resumen de: Notes from a Small Island,4,1,4,2
21,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,380715430,9.78E+12,eng,270,28489,2085,9/28/1991,William Morrow Paperbacks,Resumen de: The Mother Tongue: English and How It Got That Way,3,3,5,3
22,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,345538374,9.78E+12,eng,1728,101233,1550,9/25/2012,Ballantine Books,Resumen de: J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,4,2,5,1
23,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,618517650,9.78E+12,eng,1184,1710,91,10/21/2004,Houghton Mifflin Harcourt,Resumen de: The Lord of the Rings (The Lord of the Rings  #1-3),1,1,1,1
24,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,618346252,9.78E+12,eng,398,2128944,13670,09/05/03,Houghton Mifflin Harcourt,Resumen de: The Fellowship of the Ring (The Lord of the Rings  #1),5,3,1,3
25,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,618260587,9.78E+12,en-US,1216,1618,140,10/01/02,Houghton Mifflin Harcourt,Resumen de: The Lord of the Rings (The Lord of the Rings  #1-3),3,1,7,1
26,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,618391002,9.78E+12,eng,218,19822,46,11/05/03,Houghton Mifflin Harcourt,Resumen de: The Lord of the Rings: Weapons and Warfare,1,1,3,3
27,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,618510826,9.78E+12,eng,224,359,6,11/15/2004,Houghton Mifflin Harcourt,Resumen de: The Lord of the Rings: Complete Visual Companion,4,4,1,1
28,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9.78E+12,eng,558,1430,59,7/28/2005,Pragmatic Bookshelf,Resumen de: Agile Web Development with Rails: A Pragmatic Guide,4,2,2,1
29,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,689840926,9.78E+12,eng,208,270244,12017,04/01/00,Atheneum Books for Young Readers: Richard Jackson Books,Resumen de: Hatchet (Brian's Saga  #1),3,1,9,2
30,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,1557344493,9.78E+12,eng,48,36,2,8/28/1994,Teacher Created Resources,"Resumen de: Hatchet: A Guide for Using ""Hatchet"" in the Classroom",4,1,2,2
31,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,385326505,9.78E+12,eng,144,2067,334,1/23/2001,Delacorte Press,Resumen de: Guts: The True Stories behind Hatchet and the Brian Books,1,1,6,2
32,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9.78E+12,eng,56,6,0,06/10/03,Cherry Lane Music Company,Resumen de: Molly Hatchet - 5 of the Best,2,1,6,3
33,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9.78E+12,en-US,228,99,16,11/01/05,The New Press,Resumen de: Hatchet Jobs: Writings on Contemporary Fiction,4,3,2,1
